,Name,Category,Content
0,Anh nông dân và con lợn…,Truyện cười ngắn," 
Anh nông dân đứng trong vườn cùng đàn lợn của mình tay ôm một con lợn to, nâng lên cho nó ăn táo trên cây, rồi lại làm như thế với con thứ hai, thứ ba…

Thấy lạ , một người qua đường lại gần anh chàng và hỏi:

-Tại sao anh không rung cây cho táo rơi xuống để lợn ăn, như thế có phải đỡ tốn thời gian không?

Người nông dân ngạc nhiên:

-Thời gian à ? Thời gian có ý nghĩa gì với một con lợn chứ?"
1,Xác định khả năng xấu nhất,Truyện cười gia đình,"Khi bệnh của ông tỷ phú già không còn hy vọng chữa chạy gì nữa, bác sĩ nói với cô vợ trẻ:
- Bà cần chuẩn bị tinh thần đón nhận khả năng xấu nhất có thể xảy ra.
- Cô vợ vẫn đang chìm trong suy tư, mắt nhìn xa xôi, lẩm bẩm: Vâng, lũ con ông ấy đòi thừa kế phần lớn số tài sản. Tôi đã xác định, giành được một nửa là may rồi."
2,Đi bộ,Truyện cười học sinh,"Thầy giáo: Ngày trước, tôi đã phải đi bộ 10 cây số để đến trường đấy.
Học trò: Lẽ ra, thầy nên dậy sớm hơn để không bị lỡ chuyến xe bus."
3,Nỗi lo nặng kí,Truyện cười công sở," Một thanh niên tìm đến địa chỉ rao vặt ""Cơ hội nghìn năm có một"", được diện kiến một nhân vật đầy ưu tư. Người ấy giải thích:
 - Công việc của anh sẽ là gánh vác mọi lo toan của tôi.
 - Việc này không dễ! Ông sẽ trả tôi bao nhiêu?
 - 20.000 USD để làm mọi nỗi lo của tôi thành nỗi lo của chính anh.
 - Tôi sẽ bắt đầu lo cho ông việc gì?
 - Kiếm 40.000 USD!"
4,Tự tay giết nó!,Truyện cười nhà binh,"Binh nhì Ivan gọi điện về nhà cho mẹ, giọng uất ức:
 - Mẹ mua ngay cho con một con lợn!
 - Được rồi, mẹ sẽ mua.
 - Mẹ đặt tên cho nó là Gienia.
 - Mẹ chưa hiểu...
 - Đó là tên thằng trung đội trưởng của con.
 - Trời ơi! Để làm gì hở con?
 - Khi nào về phép, con sẽ tự tay giết nó!"
5,Vẫn chưa đâu!,Truyện cười tôn giáo,"Có 3 du khách thám hiểm rừng Amazon thì bị thổ dân bắt. Đám thổ dân ra điều kiện, mỗi người phải tìm 10 trái cây cùng loại nào đó, rồi bỏ vào miệng ăn hết cùng một lúc, ai không mắc nghẹn thì không bị ăn thịt. Ba người đi vào rừng, ông thứ nhất đem về 10 quả táo. Vừa nhét đến trái thứ 2 thì đã bị nghẹn, và đời thế là hết. Ông thứ 2 may mắn hơn, tìm được 10 quả nho, nhét tới trái thứ 9 vào miệng thì bỗng nhiên cười to, và cũng bị đám thổ dân ăn thịt.
- Hai người lên tới cổng thiên đàng, Ông thứ nhất hỏi: ""Sao tới trái thứ 9 rồi mà ông cười làm chi để bị ăn thịt vậy???"" Ông thứ hai trả lời: ""Lúc đó, tôi thấy cha thứ ba đang khiêng về 10 quả dứa!!!""
- Về phần ông khách thứ ba, thấy hai người kia bị ăn thịt thì sợ quá bỏ chạy, đám thổ dân liền đuổi theo. Tới một bờ vực, cùng đường, ông này sợ quá la lên: Trời ơi!!! Chết con rồi! Có tiếng nói từ trên vọng xuống: Con chưa chết đâu, hãy cầm cục đá, đập vào đầu tên thủ lĩnh.."". Ông này làm theo, tên thủ lĩnh chết, đám thổ dân nổi giận đùng đùng... Ông khách sợ quá la to: Trời ơi, chết con rồi!!! Có tiếng nói từ trên vọng xuống: Đó, bây giờ con mới chết đó!!!."
6,Không cần phải ủi,Truyện cười học sinh,"- Mai: Sao mặt cậu thâm tím thế kia? Lại đánh nhau với ai rồi phải không?
 - Nam: Đánh nhau đâu, tớ với thằng Toàn chỉ “tranh luận” thôi.
 - Mai: Tranh luận gì mà khiếp thế?
 - Nam: Nó cố chấp lắm, tớ đã bảo 20/11 là ngày quốc tế thiếu nhi. Nó lại khăng khăng là ngày giải phóng thủ đô. Đã sai còn hay bảo thủ."
7,Chỉ tại cái thằng bán kem!,Truyện cười 18+,"Ông mất. Cháu đến chia buồn với bà.
- Sao ông đang khỏe, chuẩn bị kỷ niệm thượng thọ 90 tuổi mà lại ốm đột ngột vậy bà? Ông mất khi nào?
 - Cháu yêu à – Bà già giàn giụa nước mắt – Ông cháu mất khi ông bà đang làm “chuyện ấy”.
 - Ông bà “đại lão” rồi sao lại còn làm việc đó nữa? Quá nguy hiểm!
 - Cũng không đến nỗi đâu, vì ông bà thường làm theo tiếng chuông nhà thờ mà. Dinh…Dong…Dinh…Dong… Cháu thấy không, chậm rãi, nhẹ nhàng mà vẫn rất tuyệt. Nhưng ai mà ngờ được là sáng hôm đó lại có thằng bán kem đi ngang qua đây làm ông cháu không biết tăng tốc đột ngột và bị đứt thắng giữa đường cơ chứ."
8,113 với những tin cầu cứu lạ lùng,Truyện cười nhà binh,"- Giữa một đêm mưa trung tuần tháng 7, tại phòng trực, hai chiến sĩ ""ngồi thiền"" trên chiếc ghế nhựa căng mắt nhìn dàn điện thoại trắng phau trải dài trên bàn gỗ. Chuông điện thoại reo vang, Trung úy Phạm Ngọc Nam nhấc máy: ""A lô, Cảnh sát 113 xin nghe"". Đầu dây là giọng nói yếu ớt của một cô gái với tiếng được tiếng mất như đang đối mặt với nguy hiểm chết người. Cô ""báo tin"": ""Em sợ ma quá anh ơi! Anh ơi. Em sợ. Xe bị hư, về trễ, đường vắng, anh cho người đến giúp em được không?"". Trung úy Nam hỏi: ""Em đang ở đâu?"". Cô trả lời: ""Dạ em đang ở... huyện Bình Chánh"". Trung úy Nam thở dài, đành chuyển máy xuống cho CS 113 Bình Chánh trợ giúp.
- Một câu chuyện dở khóc dở cười khác: cũng tại căn phòng này, thượng sĩ Lê Công Thảo, nhận được thông tin cầu cứu liên quan đến một... bà bầu. Anh Thảo than: ""Dù đó không phải là nhiệm vụ của mình nhưng chính tôi cũng lo lắng không thua kém gì người nhà của bà bầu"". Khi đó Thảo nghe một giọng nữ hốt hoảng: ""Anh ơi cho xe xuống ngay. Đẻ rớt, đẻ rớt rồi anh ơi..."". Thượng sĩ Thảo sốt sắng: ""Ở đâu, ở đâu?""... Do hoảng quá, người phụ nữ ấy đã bỏ rơi điện thoại và thượng sĩ Thảo chỉ nghe tiếng la hét, ồn ào từ đầu dây bên kia vọng lại hình như mọi người đang đưa bà bầu đến bệnh viện...
- Một đêm, có giọng nói thất thanh của chủ nhân số điện thoại di động 0989010... gọi đến kêu cứu. Mới nghe các chiến sĩ trực ban tưởng như chuyện ""động trời"" chết người; té ra người này gọi đến báo: anh ta chỉ ăn cơm ở nhà hàng nhưng chủ nhà hàng đã tính thêm tiền trái cây, karaoke, tiền boa nên nhờ CS 113 xuống giải cứu. Hay dù bẽ cả mặt nhưng chủ nhân số ĐTDĐ 0903672... đành phải gọi 113 vì đi massage không có tiền “boa” nên bị chủ tiệm massage giữ lại. Hoặc chuyện ""bếp núc"" gia đình cũng nhờ CS 113 can thiệp: vợ đòi bỏ nhà đi, ông chồng ngụ ở quận Bình Thạnh (sử dụng số ĐTDĐ: 0903718...) đã gọi nhờ CS 113 xuống ""bắt"" vợ lại giùm. Sau đó, CS 113 đã hướng dẫn ra công an địa phương giải quyết nhưng người đàn ông này ""kiên quyết"" không chịu mà đòi CS 113 xuống, nếu vợ của anh bỏ đi thì bắt đền.
- Ngoài ra, họ còn phải tiếp nhận hàng nghìn cuộc điện thoại ""quái dị"" của những người liều lĩnh, đùa giỡn thiếu ý thức làm ảnh hưởng nghiêm trọng đến nhiệm vụ của cảnh sát như: trời nóng quá gọi 113 chọc chơi được không; chửi bảo ta là khủng bố bin Laden đây; ""bà già"" (mẹ) chết buồn quá gọi điện 113 chơi; gọi đến chửi xối xả... Hai cô gái trọ ở quận 9 gọi ĐT báo thấy một bóng người đu đưa trên cành cây nên sợ quá ngủ không được, yêu cầu mấy anh đến mau. Hay chồng nhậu xỉn về nhà vợ đóng cửa không cho vào nên gọi CS 113 giúp, mạng điện thoại quá tải gọi CS 113 phàn nàn, nhà bị cháy cũng gọi CS 113..."
9,Làm việc,Truyện cười pháp luật,"Tên cướp đang dùng súng khống chế một người đàn ông trong ngõ hẻm vào lúc 2h đêm. Lóng ngóng, nạn nhân rút từ trong túi ra bao thuốc mời hắn, mong hắn nghĩ lại, đừng lấy đi hết số tiền mà ông có trong người. Lạnh lùng, hắn trả lời: ""Đây không hút thuốc trong giờ làm việc!""."
